0.015984	0.009251	0.009664	0.006106	0.000318	
0.014152	0.008671	0.009336	0.005994	0.000300	
0.016323	0.009746	0.010522	0.006483	0.000322	
0.006006	0.003664	0.003769	0.002151	0.000116	
0.008698	0.004985	0.005206	0.003112	0.000169	
0.007274	0.004275	0.004585	0.002746	0.000132	
0.006568	0.003817	0.004137	0.002641	0.000130	
0.009215	0.005502	0.005829	0.003576	0.000171	
0.007640	0.004574	0.004799	0.003076	0.000137	
0.011412	0.006864	0.007387	0.004802	0.000218	
0.012543	0.005359	0.007539	0.004190	0.000202	
0.006572	0.003799	0.004156	0.002450	0.000122	
0.013608	0.005305	0.008104	0.004402	0.000197	
0.007586	0.004477	0.004764	0.003004	0.000137	
0.009085	0.005423	0.005936	0.003721	0.000187	
0.029856	0.015638	0.019810	0.012428	0.000646	
0.025730	0.013214	0.013074	0.008703	0.000491	
